Time,Vehicle,Driver,Date,Year,Engine Size (L),HP,Torque (Nm),0-100,Price (EUR)
7:47,"Porsche 911 Turbo (997.2, facelift, 2011, 3.8 TT, 500 PS)",Horst von Saurma,2011,2022,3.8,640.0,800.0,2.6,176800.0
7:48,Porsche 911 GT3 (997.1),Horst von Saurma,2006,2022,3.0,379.0,449.0,4.0,86020.0
7:48.40,"Audi TT RS (8S, 2017, 2.5 T, 400 PS)",Christian Gebhardt,2017-05-17,2021,2.5,394.0,480.0,3.6,57460.0
7:49,"Chevrolet Corvette Z06 (C6, 2007, N/A 7.0, 512 PS)",Horst von Saurma,2007-06-22,2023,5.5,625.0,881.0,2.6,72250.0
7:49.369,Mercedes-Benz GLC63s AMG 4MATIC+ (X253),Markus Hofbauer,2018-11-22,2021,4.0,503.0,700.0,3.8,57800.0
7:50,"Aston Martin V8 Vantage GT8 (2017, N/A 4.7, 446 PS)",Christian Gebhardt,2017-02,2021,4.0,503.0,685.0,3.5,120785.0
7:50,"BMW M3 CSL (E46, 2004)",Horst von Saurma,2003,2022,3.0,444.0,550.0,3.8,71905.75
7:51,Mercedes-Benz SL65 AMG Black Series,Horst von Saurma,2009,2014,6.2,622.0,635.0,3.5,233750.0
7:52,Aston Martin V12 Vantage S,Horst von Saurma,2014,2021,4.0,503.0,685.0,3.5,120785.0
7:52,"BMW M4 (F82, 2014, 431 PS)",Horst von Saurma,2014,2022,3.0,503.0,649.0,3.8,61880.0
7:52,"Ford GT (Mk1, 2006, 550 PS)",Horst von Saurma,2006,2022,3.5,660.0,746.0,3.0,425000.0
7:52,"Porsche Boxster Spyder (981, 2015, N/A 3.8, 375 PS)",Christian Gebhardt,2015,2021,2.0,300.0,380.0,4.7,52700.0
7:52,"Porsche Panamera Turbo S (970, pre-facelift, 2012, 4.8 TT, 550 PS)",Horst von Saurma,2012,2022,4.0,620.0,819.0,2.9,159545.0
7:52.17,Toyota GR Supra (A90/J29),Christian Gebhardt,2019-08-22,2022,3.0,382.0,499.0,3.9,36626.5
7:52.36,BMW M2 Competition (F87),Christian Gebhardt,2018-09-12,2022,3.0,405.0,550.0,4.0,50910.75
7:54,"Mercedes-Benz CLK DTM AMG (W209, 2004, 582 PS)","Marcus Schurig (chief-editor of ""Sport Auto"" magazine)",2005-02,2021,4.0,523.0,670.0,3.8,100725.0
7:54,Porsche 911 GT3 (996),Horst von Saurma,2003,2022,3.0,379.0,449.0,4.0,86020.0
7:54,"Porsche 911 Turbo (997.1, pre-facelift, 2007, 3.6 TT, 480 PS)",Horst von Saurma,2007,2022,3.8,640.0,800.0,2.6,176800.0
7:54,"BMW M5 Competition (F10, 2014, 575 PS)",Horst von Saurma,2014,2022,4.4,617.0,750.0,3.1,87975.0
7:55,"Mercedes-Benz E63 AMG S 4MATIC (W212R, second facelift, 2013, B/T 5.5, 585 PS)",Horst von Saurma,2013-09,2022,4.0,503.0,700.0,3.9,65960.0
7:55.409,BMW Z4 M40i (G29),Christian Gebhardt,2018-09-12,2022,3.0,382.0,500.0,3.9,54145.0
7:56,Chevrolet Corvette Z06 (C5),Dave Hill,,2023,5.5,625.0,881.0,2.6,72250.0
7:56,"Porsche 911 Turbo (996, 2000, 3.6 TT, 420 PS)",Horst von Saurma,2000,2022,3.8,640.0,800.0,2.6,176800.0
7:56,"Porsche Panamera Turbo (970, pre-facelift, 2009, 4.8 TT, 500 PS)",Walter Röhrl,2009,2022,4.0,620.0,819.0,3.1,148155.0
7:56.10,"Alpine A110 S (2020, 1.8 T, 292 PS)",Christian Gebhardt,2020,2021,1.8,288.0,320.0,4.4,60775.0
7:56.50,"Mercedes-Benz CLK DTM AMG (W209, 2006, 582 PS)",Klaus Ludwig,2006-03,2021,4.0,523.0,670.0,3.8,100725.0
7:58,BMW M2 (F87),Jörg Weidinger [de],2015-12,2022,3.0,405.0,550.0,4.0,50065.0
7:58.29,"Ford Mustang Mach 1 (Mk6, 2021, N/A 5.0, 460 PS)",Christian Gebhardt,2021-11-03,2021,5.0,480.0,569.0,4.3,44977.75
